,0
94,Vitaly Janelt
95,Mathias Jensen
96,Kim Ji-soo
97,Yunus Emre Konak
98,Keane Lewis-Potter
99,Bryan Mbeumo
100,Ben Mee
101,Christian Nørgaard
102,Frank Onyeka
103,Myles Peart-Harris
104,Ethan Pinnock
105,Mads Roerslev Rasmussen
106,Kevin Schade
107,Igor Thiago Nascimento Rodrigues
108,Ivan Toney
109,Hákon Rafn Valdimarsson
110,Yoane Wissa
111,Yehor Yarmoliuk
112,Mathias Jorgensen
113,Simon Adingra
114,Benicio Baker-Boaitey
115,Carlos Baleba
116,Valentín Barco
117,Facundo Buonanotte
118,Amario Cozier-Duberry
119,Mahmoud Dahoud
120,Lewis Dunk
121,Julio Enciso Espínola
122,Pervis Estupiñán Tenorio
123,Evan Ferguson
124,Billy Gilmour
125,Pascal Groß
126,Jack Hinshelwood
127,Ibrahim Osman
128,Igor Julio dos Santos de Paulo
129,João Pedro Junqueira de Jesus
130,Kacper Kozłowski
131,Tariq Lamptey
132,Solly March
133,Adrian Mazilu
134,James Milner
135,Yankuba Minteh
136,Mitoma Kaoru
137,Jakub Moder
138,Mark O’Mahony
139,Odeluga Offiah
140,Cameron Peupion
141,Jeremy Sarmiento Morante
142,Jason Steele
143,Deniz Undav
144,Jan Paul van Hecke
145,Joël Veltman
146,Bart Verbruggen
147,Adam Webster
148,Danny Welbeck
149,Mats Wieffer
150,Andrey Nascimento dos Santos
151,Ângelo Gabriel Borges Damaceno
152,Kepa Arrizabalaga Revuelta
153,Benoît Badiashile Mukinayi
154,Lucas Bergström
155,Marcus Bettinelli
156,Armando Broja
157,Moisés Caicedo Corozo
158,Cesare Casadei
159,Trevoh Chalobah
160,Ben Chilwell
161,Carney Chukwuemeka
162,Levi Samuels Colwill
163,Marc Cucurella Saseta
164,David Datro Fofana
165,Deivid Washington de Souza Eugênio
166,Kiernan Dewsbury-Hall
167,Axel Disasi
168,Enzo Fernández
169,Conor Gallagher
170,Alfie Gilchrist
171,Malo Gusto
172,Reece James
173,Omari Kellyman
174,Roméo Lavia
175,Romelu Lukaku Bolingoli
176,Malang Sarr
177,Noni Madueke
178,Marc Guiu Paz
179,Mykhailo Mudryk
180,Nicolas Jackson
181,Christopher Nkunku
182,Cole Palmer
183,Đorđe Petrović
184,Renato Palma Veiga
185,Robert Lynch Sánchez
186,Raheem Sterling
187,Tosin Adarabioyo
188,Lesley Ugochukwu
189,Wesley Fofana
190,Naouirou Ahamada
191,Joachim Andersen
192,Jordan Ayew
193,Cheick Doucouré
194,Chris Richards
195,Chadi Riad Dnanou
196,Nathaniel Clyne
197,Malcolm Ebiowei
198,Odsonne Édouard
199,Eberechi Eze
200,Marc Guéhi
201,Dean Henderson
202,Rob Holding
203,Will Hughes
204,Sam Johnstone
205,Daichi Kamada
206,Jefferson Lerma Solís
207,Jean-Philippe Mateta
208,Matheus França de Oliveira
209,Remi Matthews
210,Tyrick Mitchell
211,Daniel Muñoz Mejía
212,David Ozoh
213,Jesurun Rak-Sakyi
214,Jeffrey Schlupp
215,Joel Ward
216,Adam Wharton
217,Abdoulaye Doucouré
218,Norberto Bercique Gomes Betuncal
219,Jarrad Branthwaite
220,Dominic Calvert-Lewin
221,Séamus Coleman
222,Idrissa Gana Gueye
223,James Garner
224,Jack Harrison
225,Mason Holgate
226,Tim Iroegbunam
227,João Neves Virgínia
228,Michael Keane
229,Neal Maupay
230,Dwight McNeil
231,Vitalii Mykolenko
232,Iliman Ndiaye
233,Amadou Onana
234,Nathan Patterson
235,Jordan Pickford
236,James Tarkowski
237,Youssef Ramalho Chermiti
238,Ashley Young
239,Adama Traoré Diarra
240,Andreas Hoelgebaum Pereira
241,Calvin Bassey
242,Steven Benda
243,Tom Cairney
244,Timothy Castagne
245,Issa Diop
246,Luke Harris
247,Alex Iwobi
248,Bernd Leno
249,Saša Lukić
250,Kevin Mbabu
251,Rodrigo Muniz Carvalho
252,Raúl Jiménez Rodríguez
253,Tim Ream
254,Harrison Reed
255,Antonee Robinson
256,Jay Stansfield
257,Kenny Tete
258,Carlos Vinícius Alves Morais
259,Harry Wilson
260,Ali Al-Hamadi
261,Elkan Baggott
262,Nathan Broadhead
263,Cameron Burgess
264,Wes Burns
265,Conor Chaplin
266,Harry Clarke
267,Leif Davis
268,Liam Delap
269,George Edmundson
270,Jacob Greaves
271,Marcus Myers-Harness
272,George Hirst
273,Cameron Humphreys
274,Omari Giraud-Hutchinson
275,Ben Johnson
276,Freddie Ladapo
277,Massimo Luongo
278,Sam Morsy
279,Corrie Ndaba
280,Cieran Slicker
281,Jack Taylor
282,Axel Tuanzebe
283,Christian Walton
284,Luke Woolfenden
285,Boubakary Soumaré
286,Tom Cannon
287,Hamza Choudhury
288,Conor Coady
289,Patson Daka
290,Bobby De Cordova-Reid
291,Wout Faes
292,Michael Golding
293,Mads Hermansen
294,Daniel Iversen
295,James Justin
296,Victor Kristiansen
297,Wanya Marçal-Madivádua
298,Stephy Mavididi
299,Kasey McAteer
300,Wilfred Ndidi
301,Caleb Okoli
302,Ricardo Barbosa Pereira
303,Harry Souttar
304,Jakub Stolarczyk
305,Luke Thomas
306,Jamie Vardy
307,Jannik Vestergaard
308,Danny Ward
309,Harry Winks
310,Alisson Becker
311,Trent Alexander-Arnold
312,Stefan Bajčetić Maquieira
313,Conor Bradley
314,Fábio Freitas Gouveia Carvalho
315,Bobby Clark
316,Darwin Núñez Ribeiro
317,Diogo Teixeira da Silva
318,Ben Doak
319,Harvey Elliott
320,Endo Wataru
321,Cody Gakpo
322,Joe Gomez
323,Ryan Gravenberch
324,Curtis Jones
325,Caoimhín Kelleher
326,Ibrahima Konaté
327,Luis Díaz Marulanda
328,Mohamed Salah
329,Alexis Mac Allister
330,James McConnell
331,Tyler Morton
332,Nathaniel Phillips
333,Jarell Quansah
334,Rhys Williams
335,Andrew Robertson
336,Dominik Szoboszlai
337,Konstantinos Tsimikas
338,Sepp van den Berg
339,Virgil van Dijk
340,Manuel Akanji
341,Nathan Aké
342,Bernardo Mota Veiga de Carvalho e Silva
343,Oscar Bobb
344,Scott Carson
345,Kevin De Bruyne
346,Jérémy Doku
347,Ederson Santana de Moraes
348,Phil Foden
349,Jack Grealish
350,Joško Gvardiol
351,Erling Haaland
352,Julián Álvarez
353,João Cavaco Cancelo
354,Mateo Kovačić
355,Rico Lewis
356,Matheus Nunes
357,James McAtee
358,Stefan Ortega Moreno
359,Kalvin Phillips
360,Rodrigo 'Rodri' Hernandez Cascante
361,Rúben dos Santos Gato Alves Dias
362,John Stones
363,Kyle Walker
364,Amad Diallo
365,Antony dos Santos
366,Bruno Borges Fernandes
367,Altay Bayındır
368,Carlos Henrique Casimiro
369,Diogo Dalot Teixeira
370,Christian Eriksen
371,Jonny Evans
372,Alejandro Garnacho Ferreyra
373,Hannibal Mejbri
374,Tom Heaton
375,Rasmus Højlund
376,Victor Lindelöf
377,Harry Maguire
378,Kobbie Mainoo
379,Tyrell Malacia
380,Lisandro Martínez
381,Scott McTominay
382,Mason Mount
383,André Onana
384,Facundo Pellistri Rebollo
385,Marcus Rashford
386,Jadon Sancho
387,Luke Shaw
388,Aaron Wan-Bissaka
389,Joshua Zirkzee
390,Alex Murphy
391,Miguel Almirón Rejala
392,Harvey Barnes
393,Sven Botman
394,Bruno Guimarães Rodriguez Moura
395,Dan Burn
396,Martin Dúbravka
397,Ryan Fraser
398,Anthony Gordon
399,Lewis Hall
400,Isaac Hayden
401,Alexander Isak
402,Jacob Murphy
403,Joelinton Cássio Apolinário de Lira
404,Lloyd Kelly
405,Emil Krafth
406,Garang Kuol
407,Jamaal Lascelles
408,Jamal Lewis
409,Tino Livramento
410,Sean Longstaff
411,Lewis Miley
412,Odysseas Vlachodimos
413,Nick Pope
414,John Ruddy
415,Fabian Schär
416,Matt Targett
417,Sandro Tonali
418,Kieran Trippier
419,Joe White
420,Joe Willock
421,Callum Wilson
422,Ola Aina
423,Elliot Anderson
424,Taiwo Awoniyi
425,Willy Boly
426,Josh Bowler
427,Carlos Miguel dos Santos Pereira
428,Eric da Silva Moreira
429,Danilo dos Santos de Oliveira
430,Emmanuel Dennis
431,Nicolás Domínguez
432,Anthony Elanga
433,Morgan Gibbs-White
434,Callum Hudson-Odoi
435,Alex Mighten
436,Murillo Costa dos Santos
437,Neco Williams
438,Omar Richards
439,Lewis O'Brien
440,Andrew Omobamidele
441,Jonathan Panzo
442,Ibrahim Sangaré
443,Matz Sels
444,Harry Toffolo
445,Matt Turner
446,Hwang Ui-jo
447,Chris Wood
448,Joe Worrall
449,Ryan Yates
450,Carlos Alcaraz Durán
451,Samuel Amo-Ameyaw
452,Joe Aribo
453,Adam Armstrong
454,Gavin Bazunu
455,Jan Bednarek
456,Armel Bella-Kotchap
457,James Bree
458,Shea Charles
459,Samuel Edozie
460,Ronnie Edwards
461,Taylor Harwood-Bellis
462,Kamaldeen Sulemana
463,Adam Lallana
464,Juan Larios López
465,Mateusz Lis
466,Joe Lumley
467,Ryan Manning
468,Sékou Mara
469,Alex McCarthy
470,Paul Onuachu
471,Will Smallbone
472,Jack Stephens
473,Ross Stewart
474,Sugawara Yukinari
475,Charlie Taylor
476,Kyle Walker-Peters
477,Nathan Wood-Gordon
478,Ashley Phillips
479,Brandon Austin
480,Rodrigo Bentancur
481,Lucas Bergvall
482,Yves Bissouma
483,Bryan Gil Salvatierra
484,Ben Davies
485,Alfie Devine
486,Radu Drăgușin
487,Emerson Leite de Souza Junior
488,Fraser Forster
489,Archie Gray
490,Pierre-Emile Højbjerg
491,Brennan Johnson
492,Dejan Kulusevski
493,Giovani Lo Celso
494,James Maddison
495,Pedro Porro Sauceda
496,Sergio Reguilón
497,Richarlison de Andrade
498,Cristian Romero
499,Pape Matar Sarr
500,Dane Scarlett
501,Oliver Skipp
502,Manor Solomon
503,Son Heung-min
504,Djed Spence
505,Destiny Udogie
506,Micky van de Ven
507,Alejo Véliz
508,Guglielmo Vicario
509,Timo Werner
510,Alfie Whiteman
511,Edson Álvarez Velázquez
512,Michail Antonio
513,Alphonse Areola
514,Jarrod Bowen
515,Maxwel Cornet
516,Vladimír Coufal
517,Aaron Cresswell
518,Flynn Downes
519,George Earthy
520,Emerson Palmieri dos Santos
521,Łukasz Fabiański
522,Wes Foderingham
523,Danny Ings
524,Maximilian Kilman
525,Mohammed Kudus
526,Luis Guilherme Lira dos Santos
527,Lucas Tolentino Coelho de Lima
528,Konstantinos Mavropanos
529,Nayef Aguerd
530,Tomáš Souček
531,James Ward-Prowse
532,Kurt Zouma
533,Rayan Aït-Nouri
534,Boubacar Traoré
535,Jean-Ricner Bellegarde
536,Daniel Bentley
537,Francisco Jorge Tomás Oliveira
538,Tawanda Chirewa
539,Leon Chiwome
540,Luke Cundle
541,Matheus Santos Carneiro da Cunha
542,Craig Dawson
543,Matt Doherty
544,Tommy Doyle
545,Fábio Soares Silva
546,Nathan Fraser
547,Enso González Medina
548,Gonçalo Manuel Ganchinho Guedes
549,Hugo Bueno López
550,Hwang Hee-chan
551,Joe Hodge
552,Ki-Jana Hoever
553,João Victor Gomes da Silva
554,José Malheiro de Sá
555,Saša Kalajdžić
556,Tom King
557,Mario Lemina
558,Yerson Mosquera Valdelamar
559,Nélson Cabral Semedo
560,Pedro Lomba Neto
561,Pedro Cardoso de Lima
562,Daniel Castelo Podence
563,Rodrigo Martins Gomes
564,Santiago Ignacio Bueno
565,Pablo Sarabia
566,Jørgen Strand Larsen
567,Toti Gomes
568,Arijanet Muric
569,Jaden Philogene
570,Abdul Fatawu
571,Sávio Moreira de Oliveira
572,Leny Yoro
573,Miodrag Pivaš
574,Nikola Milenković
575,Caleb Wiley
576,Andy Irving
577,Jesper Lindstrøm
578,Riccardo Calafiori
579,Ryan Sessegnon
580,Dean Huijsen
581,Filip Jörgensen
582,Jake O'Brien
583,Conor Townsend
584,Ben Brereton Díaz
585,Ismaïla Sarr
586,Jorge Cuenca Barreno
587,Crysencio Summerville
588,Guido Rodríguez
589,Niclas Füllkrug
590,William Osula
591,Jean-Clair Todibo
592,Julián Araujo Zúñiga
593,Matthijs de Ligt
594,Noussair Mazraoui
595,Myles Lewis-Skelly
596,Lamare Bogarde
597,Will Dennis
598,Ryan Trevitt
599,Brajan Gruda
600,Yasin Ayari
601,Andrew Moran
602,Harrison Armstrong
603,Josh King
604,Martial Godo
605,Will Alves
606,Nico O'Reilly
607,João Pedro Ferreira da Silva
608,Tyler Dibling
609,Will Lankshear
610,Mikey Moore
611,Sam Szmodics
612,Wilson Odobert
613,Toby Collyer
614,Carl Rushworth
615,Jenson Metcalfe
616,Ben Nelson
617,Francisco Evanilson de Lima Barbosa
618,Georginio Rutter
619,Jens Cajuste
620,Ramón Sosa
621,João Félix Sequeira
622,Sander Berge
623,Mateus Gonçalo Espanha Fernandes
624,Asmir Begovic
625,İlkay Gündoğan
626,Roman Dixon
627,Issa Kaboré
628,Ferdi Kadıoğlu
629,Matt O'Riley
630,Dara O'Shea
631,Jack Clarke
632,Chiedozie Ogbene
633,Mikel Merino Zazón
634,Gustavo Nunes Fernandes Gomes
635,Bilal El Khannouss
636,Federico Chiesa
637,Bastien Meupiyou Menadjou
638,Salah-Eddine Oulad M'hand
639,Tommy Setford
640,Sil Swinkels
641,Oliwier Zych
642,Kaelan Casey
643,André Trindade da Costa Neto
644,Franco Umeh-Chibueze
645,Justin Devenny
646,Asher Agbinone
647,Kaden Rodney
648,Ethan Wheatley
649,Jayden Meghoma
650,Maxence Lacroix
651,Orel Mangala
652,Manuel Ugarte Ribeiro
653,Felipe Rodrigues da Silva
654,Carlos Soler
655,Carlos Roberto Forbs Borges
656,Kadan Young
657,Maldini Kacurri
658,Ayden Heaven
659,Ismeal Kabia
660,Tony Yogane
661,Vítezslav Jaros
662,Josh Nichols
663,Imari Samuels
664,Alfie Pond
665,Nathan Butler-Oyedeji
666,Caleb Kporha
667,Jack Fletcher
668,Killian Cahill
669,Harvey Davies
670,Harry Amass
671,Jacob Wright
672,Jahmai Simpson-Pusey
673,Jayce Fitzgerald
674,Paris Maghoma
675,Zach Marsh
676,Callum Bates
677,Josh Wilson-Esbrand
678,Ollie Scarles
679,Ben Broggio
680,Max Kinsey
681,Ruairi McConville
682,Callum Olusesi
683,Malachi Hardy
684,Tom Edozie
685,Jacob Slater
686,Ben Winterburn
687,Ezra Mayers
688,Samuel Amissah
689,Trey Nyoni
690,Luca Williams-Barnett
691,Amara Nallo
692,Godwill Kukonki
693,Joseph O'Brien-Whitmarsh
694,Henry Cartwright
695,Samuel Rak-Sakyi
696,Tyrique George
697,Josh Acheampong
698,Divin Mubama
699,Alfie Dorrington
700,Maeson King
701,Lewis Orford
702,Archie Harris
703,Max Alleyne
704,Spike Brits
705,Benjamin Arthur
706,Remy Rees-Dottin
707,Thomas Wilson-Brown
708,Jayden Danns
709,Zach Abbott
710,Jamaldeen Jimoh-Aloba
711,Wes Okoduwa
712,Matai Akinmboni
713,Julio Soler Barreto
714,Diego Gómez Amarilla
715,Ben Godfrey
716,Welington Damascena Santos
717,Antonín Kinský
718,Yang Min-hyeok
719,Joachim Kayi-Sanda
720,Emmanuel Agbadou
721,Wayne Hennessey
722,Daniel Adu-Adjei
723,Dominic Sadi
724,Martin Sherif
725,Donyell Malen
726,Woyo Coulibaly
727,Callan McKenna
728,Zain Silcott-Duberry
729,Damola Ajayi
730,Romain Esse
731,Andrés García
732,Abdukodir Khusanov
733,Vitor de Oliveira Nunes dos Reis
734,Albert Grønbæk
735,Omar Marmoush
736,Jack Porter
737,Michael Kayode
738,Joe Knight
739,Julian Eyestone
740,Elyh Harrison
741,Dante Cassanova
742,Marco Asensio
743,Eiran Cashin
744,Alex Palmer
745,Nico González Iglesias
746,Patrick Dorgu
747,Kevin Danso
748,Mathys Tel
749,Nasser Djiga
750,Marshall Munetsi
751,Mathis Amougou
752,Willian Borges da Silva
753,Isaac Heath
754,Aarón Anselmino
755,Coby Ebere
756,Chido Obi
757,Tyler Fredricson
758,Jack Moorhouse
759,Sékou Koné
760,Iwan Morgan
761,Shumaira Mheuka
762,Ishé Samuels-Smith
763,Hubert Graczyk
764,Mateus Mané
765,Claudio Echeverri
766,Benjamin Fredrick
767,Genesis Antwi
768,Dermot Mee
769,Sean Neave
770,Jimi Gower
771,Charlie Tasker
772,Jeremy Monga
773,Jack Henry-Francis
774,Freddie Simmonds
775,Harry Howell
776,Olabade Aluko
777,Jake Evans
778,Jay Robinson
779,Somto Boniface
780,Tom Taylor
781,Brayden Clarke
782,Reece Welch
783,Sammy Braybrooke
784,Jayden Moore
